GantryFrom,Time,Rains,交通量
01F0633N,10:45,0,1362
01F0633N,10:45,1,1353
01F0633N,10:50,0,1346
01F0633N,10:50,1,1328
01F0633N,10:55,0,1374
01F0633N,10:55,1,1362
01F0633N,11:00,0,1376
01F0633N,11:00,1,1262
01F0633N,11:05,0,1374
01F0633N,11:05,1,1204
01F0633N,11:10,0,1287
01F0633N,11:10,1,1195
01F0633N,11:15,0,1316
01F0633N,11:15,1,1153
01F0633N,11:20,0,1307
01F0633N,11:20,1,1269
01F0633N,11:25,0,1315
01F0633N,11:25,1,1224
01F0633N,11:30,0,1277
01F0633N,11:30,1,1265
01F0633N,11:35,0,1311
01F0633N,11:35,1,1233
01F0633N,11:40,0,1200
01F0633N,11:40,1,1269
01F0633N,11:45,0,1364
01F0633N,11:45,1,1232
01F0633N,11:50,0,1329
01F0633N,11:50,1,1263
01F0633N,11:55,0,1192
01F0633N,11:55,1,1277
01F0633N,12:00,0,1264
01F0633N,12:00,1,1262
01F0633N,12:05,0,1232
01F0633N,12:05,1,1229
01F0633N,12:10,0,1203
01F0633N,12:10,1,1248
01F0633N,12:15,0,1321
01F0633N,12:15,1,1233
01F0633N,12:20,0,1289
01F0633N,12:20,1,1234
01F0633N,12:25,0,1266
01F0633N,12:25,1,1152
01F0633N,12:30,0,1327
01F0633N,12:30,1,1147
01F0633N,12:35,0,1282
01F0633N,12:35,1,1259
01F0633N,12:40,0,1334
01F0633N,12:40,1,1206
01F0633N,12:45,0,1316
01F0633N,12:45,1,1264
01F0633N,12:50,0,1272
01F0633N,12:50,1,1215
01F0633N,12:55,0,1265
01F0633N,12:55,1,1216
01F0633N,13:00,0,1265
01F0633N,13:00,1,1173
01F0633N,13:05,0,1241
01F0633N,13:05,1,1197
01F0633N,13:10,0,1265
01F0633N,13:10,1,1225
01F0633N,13:15,0,1246
01F0633N,13:15,1,1230
01F0633N,13:20,0,1229
01F0633N,13:20,1,1193
01F0633N,13:25,0,1291
01F0633N,13:25,1,1276
01F0633N,13:30,0,1170
01F0633N,13:30,1,1266
01F0633N,13:35,0,1218
01F0633N,13:35,1,1344
01F0633N,13:40,0,1322
01F0633N,13:40,1,1310
01F0633N,13:45,0,1331
01F0633N,13:45,1,1369
01F0633N,13:50,0,1361
01F0633N,13:50,1,1255
01F0633N,13:55,0,1299
01F0633N,13:55,1,1287
01F0633N,14:00,0,1321
01F0633N,14:00,1,1353
01F0633N,14:05,0,1341
01F0633N,14:05,1,1374
01F0633N,14:10,0,1298
01F0633N,14:10,1,1222
01F0633N,14:15,0,1267
01F0633N,14:15,1,1383
01F0633N,14:20,0,1258
